PID,Name of Project ,Description,Objectives,Project Highlight,Agroecological Zone,Region,District,Beneficiaries,"CSA Pillars (Productivity (food security), mitigation and adaptation)",System,Water Management ,Soil Nutrient and Land Management,Genetic Resources,Energy Management,Other Thematic Areas,CSA Technology
P001,Landscape Restoration and Ecosystem Management for Sustainable Food Systems,"Transformation of food systems through sustainable production, reduced deforestation from commodity supply chains, and increased landscape restoration",,,,"ER, AR, CR","Kwahu East, Kwahu West, Kwahu South, Asante Akim South, Bosome Freho, Adansi South, Juaben Municipal, Assin North, Twifo Ati-Morkwa, Mpreaso, Akim Oda, Bekwai, Juaso, Nkawie",,,Forestry,Yes,Yes,No,No,"Yes- Biodiversity, Land degradation, multi focal areas",
P002,"Food-IAP: Sustainable Land and Water Management Project, Second Additional Financing","Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana",,,,"UE, UW, NR","Sissala West, Sissala East, Wa East, West Mamprussi, Builsa South, Kassena Nankana West, Talensi Nabdam, Bawku West, Daffiama Bussie-Issa,  Mamprugu Moaduri, West Gonja and Sawla-Tuna-Kalba",,,Crop production,Yes ,Yes,No,No,"Yes-Biodiversity, climatce change and land degradation",
P003,PSG-Additional financing - Sustainable Land and Water Management Project,Expand the area under sustainable land and water management in selected watersheds to reduce land degradation and enhance maintenance of biodiversity,"To expand the area under sustainable land and water management in selected watersheds to
reduce land degradation and enhance maintenance of biodiversity. .","Capacity Building for Integrated Spatial Planning and Water Management, Project Management and Coordination",,,,,"Food security, mitigation, productivity",Crop Production ,Yes ,Yes ,No,No,"Yes-Biodiversity, climatce change and land degradation","Land, Water Management, aquaculture, forestry, crop production"
P004,Promoting Value Chain Approach to Adaptation in Agriculture,The overall objective is to reduce the vulnerability of the food supply system to the deleterious impacts of climate change. The specific objective is to reduce climate-induced risks in the cassava value chain to the achievement of food security and income generation for pilot rural communities in Ghana.,,,,"AR, BA, NR, VR","Offinso north, Kintampo, Wenchi, Techiman, Nkroanza, Gonja, Krachi",,,Crop production,Yes ,Yes,No,Yes,Yes-Agroforestry,
P005,SPWA-BD: Management of Riparian Biological Corridors,"Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planning for identification of linked watershed investments in the Northern Savanna region of Ghana.",,,,SR,,,,Crop production,Yes ,Yes ,No,No,Yes-Biodiversity,
P006,SIP: Sustainable Land Management in Ghana,"Demonstrate improved sustainable land and water management practices aimed atreducinglanddegradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana.",,,,"SR, UE",,,,Crop production,Yes ,Yes ,No,No,Yes-Land Degradation,
P007,"Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","Contribute to sustainable ecosystem-based integrated land management in globally, nationally and locally significant land resources in agricultural areas under threat of land degradation, for greater ecosystem stability, enhanced food security and improved rural livelihoods.",,,,"ER, WR, AR, SR","Akuapim South, Upper Manya Krobo",,,Crop production,,Yes,No,No,Yes-Biodiversity land degradation,
P008,Community-based Integrated Natural Resources Management Project in Okyeman,Enhance biodiversity conservation and sustainable use of renewable natural resources in Okyeman through community-based integrated natural resource management approaches,,,,ER,,,,Crop production,,Yes ,No,No,,
P009,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),"Accelerate the use, application and adaptation of climate - relevant ESTs that are supportive to socio-economic development objectives of Ghana.",enable Ghana fulfil its commitment under the paragraph 1 (b) of the COP decision 2/CP4,"Above all, it is envisaged that this phase of the enabling activities would form a model for technology collaboration in order to accelerate the use, application and adaptation of climate - relevant ESTs that are supportive to socio-economic development objectives of Ghana",,,,,,Crop production,Yes,Yes,No,No,Yes-Biodiversity,
P010,Biodiversity Conservation of Lake Bosumtwe Basin,Conserving and sustainably managing natural resources and land use in Ghana,,,,AR,Bosomtwe District,,,Crop production,Yes ,Yes ,,,Yes-Biodiversity,
