PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
2,Root and Tuber Improvement and Marketing Programme,"Enhancing the  livelihood of the rural poor who rely on roots and tubers for their income and food security. The programme promotes the development of competitive, market-based and inclusive R&T commodity chains by providing relevant, effective and sustainable services, accessible by the rural poor. Develops linkages within the commodity chain for roots and tubers; enhances the production of roots and tubers through improved technologies; and develops the processing and marketing infrastructure for roots and tubers.",,,,Yes,Yes,,,,government,MOFA,All Regions,,,Completed,2005,2014,https://www.ifad.org/en/web/operations/-/project/1100001312,,Han Ulac Mr Demirag,u.demirag@ifad.org,,,,,,,,,,,,,,,,,,,
22,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,Crop Production,,Yes,,,Yes-Agroforestry,government,MoFA,Ashanti Region,"Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,2017,,,,,,,,,,,,,,,,,,,,,,,,
22,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,Crop Production,,Yes,,,Yes-Agroforestry,government,MoFA,Ahafo Region,"Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,2017,,,,,,,,,,,,,,,,,,,,,,,,
22,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,Crop Production,,Yes,,,Yes-Agroforestry,government,MoFA,Eastern Region,"Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,2017,,,,,,,,,,,,,,,,,,,,,,,,
22,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,Crop Production,,Yes,,,Yes-Agroforestry,government,MoFA,Western North Region,"Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,2017,,,,,,,,,,,,,,,,,,,,,,,,
22,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,Crop Production,,Yes,,,Yes-Agroforestry,government,MoFA,Central Region,"Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,2017,,,,,,,,,,,,,,,,,,,,,,,,
P001,Landscape Restoration and Ecosystem Management for Sustainable Food Systems,"Transformation of food systems through sustainable production, reduced deforestation from commodity supply chains, and increased landscape restoration",,,Forestry,Yes,Yes,No,No,"Yes- Biodiversity, Land degradation, multi focal areas",government,"EPA , MLNR, Gov",Eastern Region,"Kwahu East, Kwahu West, Kwahu South, Asante Akim South, Bosome Freho, Adansi South, Juaben Municipal, Assin North, Twifo Ati-Morkwa, Mpreaso, Akim Oda, Bekwai, Juaso, Nkawie","Southern Scarp, Northern Scarp West, Northern Scarp East, Pra Anum, Fum Headwaters, South Fomangsu, Prakaw, Tano Offin, Offin Shelterbelt, Jimira, Asenanyo River",ongoing,2021,2027,https://www.thegef.org/projects-operations/projects/10348,,,,,,,,,,,,,,,,,,,,,,
P001,Landscape Restoration and Ecosystem Management for Sustainable Food Systems,"Transformation of food systems through sustainable production, reduced deforestation from commodity supply chains, and increased landscape restoration",,,Forestry,Yes,Yes,No,No,"Yes- Biodiversity, Land degradation, multi focal areas",government,"EPA , MLNR, Gov",Ashanti Region,"Kwahu East, Kwahu West, Kwahu South, Asante Akim South, Bosome Freho, Adansi South, Juaben Municipal, Assin North, Twifo Ati-Morkwa, Mpreaso, Akim Oda, Bekwai, Juaso, Nkawie","Southern Scarp, Northern Scarp West, Northern Scarp East, Pra Anum, Fum Headwaters, South Fomangsu, Prakaw, Tano Offin, Offin Shelterbelt, Jimira, Asenanyo River",ongoing,2021,2027,https://www.thegef.org/projects-operations/projects/10348,,,,,,,,,,,,,,,,,,,,,,
P001,Landscape Restoration and Ecosystem Management for Sustainable Food Systems,"Transformation of food systems through sustainable production, reduced deforestation from commodity supply chains, and increased landscape restoration",,,Forestry,Yes,Yes,No,No,"Yes- Biodiversity, Land degradation, multi focal areas",government,"EPA , MLNR, Gov",Central Region,"Kwahu East, Kwahu West, Kwahu South, Asante Akim South, Bosome Freho, Adansi South, Juaben Municipal, Assin North, Twifo Ati-Morkwa, Mpreaso, Akim Oda, Bekwai, Juaso, Nkawie","Southern Scarp, Northern Scarp West, Northern Scarp East, Pra Anum, Fum Headwaters, South Fomangsu, Prakaw, Tano Offin, Offin Shelterbelt, Jimira, Asenanyo River",ongoing,2021,2027,https://www.thegef.org/projects-operations/projects/10348,,,,,,,,,,,,,,,,,,,,,,
P002,"Food-IAP: Sustainable Land and Water Management Project, Second Additional Financing","Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana",,,Crop production,Yes ,Yes,No,No,"Yes-Biodiversity, climatce change and land degradation",government,"MESTI, EPA, MLNR, MOFA, FSD, SADA, Wildlife Division",Upper East Region,"Sissala West, Sissala East, Wa East, West Mamprussi, Builsa South, Kassena Nankana West, Talensi Nabdam, Bawku West, Daffiama Bussie-Issa,  Mamprugu Moaduri, West Gonja and Sawla-Tuna-Kalba","Sanyiga Kasena Gavara Kara Corridor Site, Sumboru Bechausa Corridor Site, Moagduri Wuntanluri Kuwesaasi Corridor Site,  Bulsa Yening Corridor Site, Gbele-Mole corridor sites, Chakali Sungmaaluu Corridor Site, - BulKawe Corridor Site 2, Sissala Kasena Fraah Corridor Site, Jeffissi, Kalaasa, Kunkorgu, Gbantongo-Agoadabot, and
Gbango, Mawbia, Pudo Hills, Sissili North, Sissili cetral, Chiana Hills, Bepona, Kulpawn tributaries,
Ambalara",Completed,2010,2021,https://www.youtube.com/watch?v=4zLtszRi1pQ&t=5s,,,,,,Farming System,,,,,,,,,,,,,,,,
P002,"Food-IAP: Sustainable Land and Water Management Project, Second Additional Financing","Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana",,,Crop production,Yes ,Yes,No,No,"Yes-Biodiversity, climatce change and land degradation",government,"MESTI, EPA, MLNR, MOFA, FSD, SADA, Wildlife Division",Upper West Region,"Sissala West, Sissala East, Wa East, West Mamprussi, Builsa South, Kassena Nankana West, Talensi Nabdam, Bawku West, Daffiama Bussie-Issa,  Mamprugu Moaduri, West Gonja and Sawla-Tuna-Kalba","Sanyiga Kasena Gavara Kara Corridor Site, Sumboru Bechausa Corridor Site, Moagduri Wuntanluri Kuwesaasi Corridor Site,  Bulsa Yening Corridor Site, Gbele-Mole corridor sites, Chakali Sungmaaluu Corridor Site, - BulKawe Corridor Site 2, Sissala Kasena Fraah Corridor Site, Jeffissi, Kalaasa, Kunkorgu, Gbantongo-Agoadabot, and
Gbango, Mawbia, Pudo Hills, Sissili North, Sissili cetral, Chiana Hills, Bepona, Kulpawn tributaries,
Ambalara",Completed,2010,2021,https://www.youtube.com/watch?v=4zLtszRi1pQ&t=5s,,,,,,Farming System,,,,,,,,,,,,,,,,
P002,"Food-IAP: Sustainable Land and Water Management Project, Second Additional Financing","Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana",,,Crop production,Yes ,Yes,No,No,"Yes-Biodiversity, climatce change and land degradation",government,"MESTI, EPA, MLNR, MOFA, FSD, SADA, Wildlife Division",Northern Region,"Sissala West, Sissala East, Wa East, West Mamprussi, Builsa South, Kassena Nankana West, Talensi Nabdam, Bawku West, Daffiama Bussie-Issa,  Mamprugu Moaduri, West Gonja and Sawla-Tuna-Kalba","Sanyiga Kasena Gavara Kara Corridor Site, Sumboru Bechausa Corridor Site, Moagduri Wuntanluri Kuwesaasi Corridor Site,  Bulsa Yening Corridor Site, Gbele-Mole corridor sites, Chakali Sungmaaluu Corridor Site, - BulKawe Corridor Site 2, Sissala Kasena Fraah Corridor Site, Jeffissi, Kalaasa, Kunkorgu, Gbantongo-Agoadabot, and
Gbango, Mawbia, Pudo Hills, Sissili North, Sissili cetral, Chiana Hills, Bepona, Kulpawn tributaries,
Ambalara",Completed,2010,2021,https://www.youtube.com/watch?v=4zLtszRi1pQ&t=5s,,,,,,Farming System,,,,,,,,,,,,,,,,
P003,PSG-Additional financing - Sustainable Land and Water Management Project,Expand the area under sustainable land and water management in selected watersheds to reduce land degradation and enhance maintenance of biodiversity,World Bank,WB,Crop Production ,Yes ,Yes ,No,No,"Yes-Biodiversity, climatce change and land degradation",government,MESTI,,,,Completed,2014,2020,https://www.thegef.org/projects-operations/projects/5221,"Land, Water Management, aquaculture, forestry, crop production",,,,,,Yes,Land tenure,No,,No,,No,,No,,No,,No,,No,
P004,Promoting Value Chain Approach to Adaptation in Agriculture,The overall objective is to reduce the vulnerability of the food supply system to the deleterious impacts of climate change. The specific objective is to reduce climate-induced risks in the cassava value chain to the achievement of food security and income generation for pilot rural communities in Ghana.,,,Crop production,Yes ,Yes,No,Yes,Yes-Agroforestry,government,MOFA,Ashanti Region,"Offinso north, Kintampo, Wenchi, Techiman, Nkroanza, Gonja, Krachi",,Completed,2012,2017,"https://www.ifad.org/documents/38714170/39150184/GEF+Ghana+facsheet.pdf/0d6ea844-332c-40d8-94a7-25ba37592ffb#:~:text=This%20component%20entails%20two%20specific,to%20meteorological%20information%20to%20inform",,Naoufel Telahigue,,Cassava,Poorest in societies that are most affected by CC impact,,,,,,,,,,,,,,,,,
P004,Promoting Value Chain Approach to Adaptation in Agriculture,The overall objective is to reduce the vulnerability of the food supply system to the deleterious impacts of climate change. The specific objective is to reduce climate-induced risks in the cassava value chain to the achievement of food security and income generation for pilot rural communities in Ghana.,,,Crop production,Yes ,Yes,No,Yes,Yes-Agroforestry,government,MOFA,Brong Ahafo,"Offinso north, Kintampo, Wenchi, Techiman, Nkroanza, Gonja, Krachi",,Completed,2012,2017,"https://www.ifad.org/documents/38714170/39150184/GEF+Ghana+facsheet.pdf/0d6ea844-332c-40d8-94a7-25ba37592ffb#:~:text=This%20component%20entails%20two%20specific,to%20meteorological%20information%20to%20inform",,Naoufel Telahigue,,Cassava,Poorest in societies that are most affected by CC impact,,,,,,,,,,,,,,,,,
P004,Promoting Value Chain Approach to Adaptation in Agriculture,The overall objective is to reduce the vulnerability of the food supply system to the deleterious impacts of climate change. The specific objective is to reduce climate-induced risks in the cassava value chain to the achievement of food security and income generation for pilot rural communities in Ghana.,,,Crop production,Yes ,Yes,No,Yes,Yes-Agroforestry,government,MOFA,Northern Region,"Offinso north, Kintampo, Wenchi, Techiman, Nkroanza, Gonja, Krachi",,Completed,2012,2017,"https://www.ifad.org/documents/38714170/39150184/GEF+Ghana+facsheet.pdf/0d6ea844-332c-40d8-94a7-25ba37592ffb#:~:text=This%20component%20entails%20two%20specific,to%20meteorological%20information%20to%20inform",,Naoufel Telahigue,,Cassava,Poorest in societies that are most affected by CC impact,,,,,,,,,,,,,,,,,
